author,content,timestamp
Mudae,"
🏆 TOP 1000
**#991** - **Rohan Kishibe** - JoJo's Bizarre Adventure: Diamond Is Unbreakable
**#992** - **Sae Niijima** - Persona 5
**#993** - **Kou Minamoto** - Jibaku Shounen Hanako-kun
**#994** - **Melascula** - Nanatsu no Taizai
**#995** - **Kisuke Urahara** - BLEACH
**#996** - **Ougi Oshino** - Monogatari
**#997** - **Seras Victoria** - Hellsing
**#998** - **Sesshomaru** - InuYasha
**#999** - **Kyuusaku Yumeno** - Bungou Stray Dogs
**#1000** - **Yuna (SAO)** - Sword Art Online
Page 67 / 67",2025-02-19 05:03:31.944000+00:00
heba_45850,$top,2025-02-19 05:03:31.690000+00:00
Mudae,"
🏆 TOP 1000
**#166** - **Inugami Korone** - hololive
**#167** - **Sasuke Uchiha** - Naruto
**#168** - **Ichigo Kurosaki** - BLEACH
**#169** - **Nanika** - Hunter × Hunter
**#170** - **Hitagi Senjougahara** - Monogatari
**#171** - **Bulma** - Dragon Ball
**#172** - **Cynthia** - Pokémon Diamond/Pearl/Platinum
**#173** - **A2** - NieR: Automata
**#174** - **Android 18** - Dragon Ball Z
**#175** - **Marceline** - Adventure Time
**#176** - **Sung Jin-Woo** - Solo Leveling
**#177** - **Orihime Inoue** - BLEACH
**#178** - **Raven** - Teen Titans
**#179** - **Midnight** - Boku no Hero Academia
**#180** - **Kurapika** - Hunter × Hunter
Page 12 / 67",2025-02-19 05:01:50.377000+00:00
heba_45850,$top,2025-02-19 05:01:50.047000+00:00
Mudae,"
🏆 TOP 1000
**#31** - **Himiko Toga** - Boku no Hero Academia
**#32** - **Rin Tohsaka** - Fate/stay night
**#33** - **Chika Fujiwara** - Kaguya-sama wa Kokurasetai
**#34** - **Kaguya Shinomiya** - Kaguya-sama wa Kokurasetai
**#35** - **Akeno Himejima** - High School DxD
**#36** - **Esdeath** - Akame ga Kill!
**#37** - **Kurumi Tokisaki** - Date A Live
**#38** - **Roronoa Zoro** - One Piece
**#39** - **Yor Forger** - SPY×FAMILY
**#40** - **Nobara Kugisaki** - Jujutsu Kaisen
**#41** - **Bongo Cat** - Internet Cats
**#42** - **Erza Scarlet** - Fairy Tail
**#43** - **Komi Shouko** - Komi-san wa, Comyushou desu.
**#44** - **Rei Ayanami** - Neon Genesis Evangelion
**#45** - **Mitsuri Kanroji** - Kimetsu no Yaiba
Page 3 / 67",2025-02-19 04:49:54.656000+00:00
heba_45850,$top,2025-02-19 04:49:54.348000+00:00
Mudae,"
🏆 TOP 1000
**#991** - **Rohan Kishibe** - JoJo's Bizarre Adventure: Diamond Is Unbreakable · **183** ka
**#992** - **Sae Niijima** - Persona 5 · **136** ka
**#993** - **Kou Minamoto** - Jibaku Shounen Hanako-kun · **176** ka
**#994** - **Melascula** - Nanatsu no Taizai · **122** ka
**#995** - **Kisuke Urahara** - BLEACH · **178** ka
**#996** - **Ougi Oshino** - Monogatari · **129** ka
**#997** - **Seras Victoria** - Hellsing · **155** ka
**#998** - **Sesshomaru** - InuYasha · **174** ka
**#999** - **Kyuusaku Yumeno** - Bungou Stray Dogs · **111** ka
**#1000** - **Yuna (SAO)** - Sword Art Online · **119** ka
Page 67 / 67",2025-02-19 04:34:12.677000+00:00
heba_45850,$topku,2025-02-19 04:34:11.808000+00:00
Mudae,"
🏆 TOP 1000
**#16** - **Miku Nakano** - 5-toubun no Hanayome · **872** ka
**#17** - **Nico Robin** - One Piece · **876** ka
**#18** - **2B** - NieR: Automata · **832** ka
**#19** - **Kirby** - Kirby's Dream Land · **772** ka
**#20** - **Hange Zoë** - Attack on Titan · **734** ka
**#21** - **Violet Evergarden** - Violet Evergarden · **835** ka
**#22** - **Emilia** - Re:Zero kara Hajimeru Isekai Seikatsu · **855** ka
**#23** - **Shinobu Kochou** - Kimetsu no Yaiba · **835** ka
**#24** - **Aqua** - Kono Subarashii Sekai ni Shukufuku wo! · **862** ka
**#25** - **Akame** - Akame ga Kill! · **832** ka
**#26** - **Monkey D. Luffy** - One Piece · **902** ka
**#27** - **Yumeko Jabami** - Kakegurui · **808** ka
**#28** - **Marin Kitagawa** - Sono Bisque Doll wa Koi wo Suru · **737** ka
**#29** - **Nino Nakano** - 5-toubun no Hanayome · **751** ka
**#30** - **Ram** - Re:Zero kara Hajimeru Isekai Seikatsu · **862** ka
Page 2 / 67",2025-02-19 04:32:04.622000+00:00
heba_45850,$topku,2025-02-19 04:32:04.231000+00:00
Mudae,"
🏆 TOP 1000
**#286** - **Eru Chitanda** - Hyouka · **298** ka
**#287** - **Leone** - Akame ga Kill! · **283** ka
**#288** - **Kirari Momobami** - Kakegurui · **267** ka
**#289** - **Sumi Sakurasawa** - Kanojo, Okarishimasu · **298** ka
**#290** - **Usada Pekora** - hololive · **308** ka
**#291** - **Osana Najimi** - Komi-san wa, Comyushou desu. · **197** ka
**#292** - **Gunter** - Adventure Time · **168** ka
**#293** - **Sakura Matou** - Fate/stay night · **281** ka
**#294** - **Ruka Sarashina** - Kanojo, Okarishimasu · **293** ka
**#295** - **Casca** - Berserk · **302** ka
**#296** - **Hanako-kun** - Jibaku Shounen Hanako-kun · **383** ka
**#297** - **Ibuki Mioda** - Danganronpa 2: Goodbye Despair · **311** ka
**#298** - **Nefertari Vivi** - One Piece · **225** ka
**#299** - **Tengen Uzui** - Kimetsu no Yaiba · **344** ka
**#300** - **Mirai Kuriyama** - Kyoukai no Kanata · **275** ka
Page 20 / 67",2025-02-19 04:29:01.244000+00:00
heba_45850,$topku,2025-02-19 04:29:00.868000+00:00
Mudae,"
🏆 TOP 1000
​
**#1** - **Zero Two** - DARLING in the FRANXX · **1042** ka
**#2** - **Rem** - Re:Zero kara Hajimeru Isekai Seikatsu · **1032** ka
**#3** - **Hatsune Miku** - VOCALOID · **992** ka
**#4** - **Megumin** - Kono Subarashii Sekai ni Shukufuku wo! · **1016** ka
**#5** - **Mai Sakurajima** - Seishun Buta Yarou · **951** ka
**#6** - **Rias Gremory** - High School DxD · **982** ka
**#7** - **Satoru Gojo** - Jujutsu Kaisen · **996** ka
**#8** - **Power** - Chainsaw Man · **951** ka
**#9** - **Saber** - Fate/stay night · **955** ka
**#10** - **Nami** - One Piece · **973** ka
**#11** - **Asuna** - Sword Art Online · **973** ka
**#12** - **Mikasa Ackerman** - Attack on Titan · **938** ka
**#13** - **Nezuko Kamado** - Kimetsu no Yaiba · **942** ka
**#14** - **Albedo** - Overlord · **894** ka
**#15** - **Makima** - Chainsaw Man · **887** ka
Page 1 / 67",2025-02-19 04:23:42.066000+00:00
heba_45850,$topku,2025-02-19 04:23:41.688000+00:00
Mudae,"**info flags**: Add those letters to some commands ($mm, $ima...) to display different informations:
**w** (waifu), **h** (husbando), **wh** (both genders), **w=** (waifu without both genders), **h=** (husbando without both genders)
**g** (game), **g-** (animanga), **gg-** (both), **g=** (game only), **g-=** (animanga only)
**a** (series list), **a+** (series names), **b** (series bundles), **p** (character search if you type some text), **s** (DM)

**e** (tags), **e=** (sort by number of tags)
**r** (claim ranks), **r-** (claim ranks not sorted), **l** (like ranks), **l-** (like ranks not sorted)
**k** (kakera value), **k=** (kakera sorted), **k-** (value without keys)
**y** (keys only), **y=** (keys sorted), **y+** (with full harem), **y-** (without keys)
Equivalent for soulkeys: **y!**, **y!=**, **y!+**, **y!-**
**c** (embedcolored), **c+** (with full harem), **c-** (without embedcolor)

**t** (type of rolls), **m** (main names), **d** (img/alias/series details), **v** (hide details such as notes), **n** (not noted), **n+** (noted only)
**u** (unclaimed), **o** (owner names), **o=** (owned only), **o-** (not owned by you), **o+** (owned by you)
**o!** (flags are about you when checking another user)
**x** (disabled), **x+** (with full harem), **x-** (not disabled)
**q!** (inexact search), **q=** (exact search), **q+** (exact start), **q-** (exact end), **==** (alphabetical sort)
**i** (images), **i-** (hide images if DM)

**Available arguments** (type a space after the command, don't type the <>):
<**series name**>, <**page**>, <**@User, User ID or User tag**>, $mm serv <server ID>
Add **--** in front of a series, character, tag or note to exclude it from the search.
For multiple arguments, separate them with a **$**

__Example:__ *$mmwr Re:Zero*
__**SLASH COMMANDS** Example:__ */mm /wr Re:Zero*",2025-02-18 00:22:00.715000+00:00
moof_soup,$s flags,2025-02-18 00:22:00.609000+00:00
Mudae,"Syntax: **$ima** <series to search>

Type **$s flags** for the list of filters.

**$imaq!** <series> if you want to return the list instead of one series.
**$ima** <series 1>$<series 2> for multiple series.
**$ima** <series>$<page> to jump to the page.
**$imab** <series> for the bundle list of the series.
**$imap** <series> = <character(s)> to search by character name.
**$imae** <series> = <tag(s)> to search by tag.
**$ima&** <bundle 1>$<bundle 2> to not search by series overlapping.
**$imaq+** <series> (or $imaq- <series>) to only search for series containing a part starting (or ending) exactly by your request.
**$ima?** <series> to display all aliases, including those from other countries, and the definition if available.
**$ima*** to only display characters whose main series is this one.
**$ima*-** to only display characters whose main series is not this one.
**$ima*+** to display characters regardless of their main series (useful for bundles).

Ex.: $imawo attack on titan",2025-02-18 00:21:44.075000+00:00
moof_soup,$ima?,2025-02-18 00:21:43.914000+00:00
Mudae,"
Resident Evil Series   0/84
(bundle)
*Category: Series*
*Biohazard Series*
*RE Series*
*Resident Evil Franchise*
*Biohazard Franchise*
*Resident Evil
3 more - Type $ima? to see them.*

Ada Wong
Albert Wesker
Alex Wesker
Alexander Kozachenko
Alexia Ashford
Alfred Ashford
Alice (RE)
Annette Birkin
Ashley Graham
Barry Burton
Becca Woolett
Bela Dimitrescu
BELTWAY
Billy Coen
Bitores Méndez
Page 1 / 6",2025-02-18 00:21:13.514000+00:00
moof_soup,$imaq+ Re,2025-02-18 00:21:13.365000+00:00
Mudae,"
Aikatsu Planet!   0/8
*AP!*
*AP*
*Aikatsu Planet*
*AiPla*

Ann (AP!)
Beat (AP!)
Hana (AP!)
Q-Pit
Rose (AP!)
Ruli
Sala (AP!)
Shiori (AP!)",2025-02-18 00:21:03.940000+00:00
moof_soup,$imaq+ Ap,2025-02-18 00:21:03.699000+00:00
Mudae,"
Angry Birds   0/12
*AB*
*Red's First Flight*

Bomb
Chuck
Corporal Pig
Foreman Pig
Hal (AB)
King Pig
Matilda (AB)
Mighty Eagle
Pig (AB)
Red (AB)
Terence
The Blues",2025-02-18 00:20:48.281000+00:00
moof_soup,$imaq+ Ab,2025-02-18 00:20:48.029000+00:00
Mudae,"**moof_soup**, No results!",2025-02-18 00:20:42.311000+00:00
moof_soup,$imaq+ A,2025-02-18 00:20:42.185000+00:00
Mudae,"
Re:Zero kara Hajimeru Isekai Seikatsu   0/161
*Re:Zero - Starting Life in Another World*
*Re:Zero*
*Re Zero*
*ReZero*
*Re:ゼロから始める異世界生活*

Aldebaran
Anastasia Hoshin
Annerose Miload
Arakiya
Arch
Balleroy Temeglyph
Beatrice (RZ)
Beli Hainelga
Berstetz Fondalfon
Bordeaux Zellgef
Cain (RZ)
Capella Emerada Lugnica
Carmilla (RZ)
Carol Remendis
Cecilus Segmunt
Page 1 / 11",2025-02-18 00:20:12.725000+00:00
moof_soup,$imaq+ re:zero,2025-02-18 00:20:12.446000+00:00
Mudae,"**moof_soup**, No results!",2025-02-18 00:20:04.266000+00:00
moof_soup,$imaq+ a,2025-02-18 00:20:04.020000+00:00
Mudae,"
Futaba Sakura
Persona 5 <:female:452463537508450304>
*Game & Animanga* · **430**<:kakera:469835869059153940>
Claim Rank: #146
Like Rank: #194
Oracle (P5) (+9)
1 / 43",2025-02-17 23:46:42.064000+00:00
moof_soup,$im Futaba Sakura,2025-02-17 23:46:41.933000+00:00
Mudae,"
A Goofy Bundle   0/12
(bundle)
*Category: Connected Universe*
*An Extremely Goofy Bundle*
*Goofy Series*
*Goofy Universe*

Total value: **463**<:kakera:469835869059153940>

Max Goof **54** ka
Roxanne (AGM) **53** ka
Beret Girl **37** ka
Powerline **35** ka
Bradley Uppercrust III **34** ka
Sylvia Marpole **30** ka
Bobby Zimuruski **29** ka
P.J. Pete **28** ka
Peg Pete **28** ka
Lisa (AGM) **26** ka

*Chars without a main series in this bundle:*

Goofy **74** ka
Pete **35** ka",2025-02-17 19:41:16.990000+00:00
moof_soup,$imaqk= a goofy bundle,2025-02-17 19:41:16.792000+00:00
moof_soup,"this command shows ""top 1000, sorted by kakera, only unclaimed, from the waifu anime pool"" (g- is ""not games"", the flags are weird)",2025-02-17 18:29:33.356000+00:00
Mudae,"
🏆 TOP 1000
​
**#1** - **Zero Two** - DARLING in the FRANXX · **1042** ka
**#2** - **Rem** - Re:Zero kara Hajimeru Isekai Seikatsu · **1032** ka
**#4** - **Megumin** - Kono Subarashii Sekai ni Shukufuku wo! · **1016** ka
**#3** - **Hatsune Miku** - VOCALOID · **992** ka
**#6** - **Rias Gremory** - High School DxD · **982** ka
**#10** - **Nami** - One Piece · **973** ka
**#11** - **Asuna** - Sword Art Online · **973** ka
**#9** - **Saber** - Fate/stay night · **955** ka
**#5** - **Mai Sakurajima** - Seishun Buta Yarou · **951** ka
**#8** - **Power** - Chainsaw Man · **951** ka
**#13** - **Nezuko Kamado** - Kimetsu no Yaiba · **942** ka
**#12** - **Mikasa Ackerman** - Attack on Titan · **938** ka
**#14** - **Albedo** - Overlord · **894** ka
**#15** - **Makima** - Chainsaw Man · **887** ka
**#16** - **Miku Nakano** - 5-toubun no Hanayome · **872** ka
Page 1 / 67",2025-02-17 18:26:36.209000+00:00
moof_soup,$topk=uwg-,2025-02-17 18:26:35.927000+00:00
Mudae,"
🏆 TOP 1000
​
**#1** - **Zero Two** - DARLING in the FRANXX · **1042** ka
**#2** - **Rem** - Re:Zero kara Hajimeru Isekai Seikatsu · **1032** ka
**#3** - **Hatsune Miku** - VOCALOID · **992** ka
**#4** - **Megumin** - Kono Subarashii Sekai ni Shukufuku wo! · **1016** ka
**#5** - **Mai Sakurajima** - Seishun Buta Yarou · **951** ka
**#6** - **Rias Gremory** - High School DxD · **982** ka
**#7** - **Satoru Gojo** - Jujutsu Kaisen · **996** ka
**#8** - **Power** - Chainsaw Man · **951** ka
**#9** - **Saber** - Fate/stay night · **955** ka
**#10** - **Nami** - One Piece · **973** ka
**#11** - **Asuna** - Sword Art Online · **973** ka
**#12** - **Mikasa Ackerman** - Attack on Titan · **938** ka
**#13** - **Nezuko Kamado** - Kimetsu no Yaiba · **942** ka
**#14** - **Albedo** - Overlord · **894** ka
**#15** - **Makima** - Chainsaw Man · **887** ka
Page 1 / 67",2025-02-17 18:26:26.488000+00:00
moof_soup,$topku,2025-02-17 18:26:26.125000+00:00
PyBot,$left,2025-02-17 18:23:43.102000+00:00
PyBot,$left,2025-02-17 18:21:45.519000+00:00
PyBot,$left,2025-02-17 18:17:39.032000+00:00
Mudae,"
🏆 TOP 1000
​
**#1** - **Zero Two** - DARLING in the FRANXX · **1042** ka
**#2** - **Rem** - Re:Zero kara Hajimeru Isekai Seikatsu · **1032** ka
**#4** - **Megumin** - Kono Subarashii Sekai ni Shukufuku wo! · **1016** ka
**#7** - **Satoru Gojo** - Jujutsu Kaisen · **996** ka
**#3** - **Hatsune Miku** - VOCALOID · **992** ka
**#6** - **Rias Gremory** - High School DxD · **982** ka
**#10** - **Nami** - One Piece · **973** ka
**#11** - **Asuna** - Sword Art Online · **973** ka
**#9** - **Saber** - Fate/stay night · **955** ka
**#5** - **Mai Sakurajima** - Seishun Buta Yarou · **951** ka
**#8** - **Power** - Chainsaw Man · **951** ka
**#13** - **Nezuko Kamado** - Kimetsu no Yaiba · **942** ka
**#12** - **Mikasa Ackerman** - Attack on Titan · **938** ka
**#26** - **Monkey D. Luffy** - One Piece · **902** ka
**#14** - **Albedo** - Overlord · **894** ka
Page 1 / 67",2025-02-17 18:17:14.102000+00:00
heba_45850,$topk=,2025-02-17 18:17:13.787000+00:00
Mudae,"
🏆 TOP 1000
​
Total value: **283210**<:kakera:469835869059153940>

**{ tákt op. } - 1/30**
**#328** - Destiny **238** ka

**【OSHI NO KO】 - 5/22**
**#58** - Ai Hoshino **530** ka
**#218** - Ruby Hoshino **287** ka
**#242** - Akane Kurokawa **241** ka
**#249** - Kana Arima **256** ka
**#640** - MEM-Cho **137** ka

**🤔 - 11/58**
**#63** - Truck-kun **458** ka
**#139** - Trollface **224** ka
**#217** - Doge **281** ka
**#279** - Wojak **152** ka
Page 1 / 110",2025-02-17 18:17:06.878000+00:00
heba_45850,$topka,2025-02-17 18:17:06.473000+00:00
Mudae,"
🏆 TOP 1000
​
**#1** - **Zero Two** - DARLING in the FRANXX · **1042** ka
**#2** - **Rem** - Re:Zero kara Hajimeru Isekai Seikatsu · **1032** ka
**#3** - **Hatsune Miku** - VOCALOID · **992** ka
**#4** - **Megumin** - Kono Subarashii Sekai ni Shukufuku wo! · **1016** ka
**#5** - **Mai Sakurajima** - Seishun Buta Yarou · **951** ka
**#6** - **Rias Gremory** - High School DxD · **982** ka
**#7** - **Satoru Gojo** - Jujutsu Kaisen · **996** ka
**#8** - **Power** - Chainsaw Man · **951** ka
**#9** - **Saber** - Fate/stay night · **955** ka
**#10** - **Nami** - One Piece · **973** ka
**#11** - **Asuna** - Sword Art Online · **973** ka
**#12** - **Mikasa Ackerman** - Attack on Titan · **938** ka
**#13** - **Nezuko Kamado** - Kimetsu no Yaiba · **942** ka
**#14** - **Albedo** - Overlord · **894** ka
**#15** - **Makima** - Chainsaw Man · **887** ka
Page 1 / 67",2025-02-17 18:16:31.092000+00:00
heba_45850,$topk,2025-02-17 18:16:30.777000+00:00
Mudae,"
🏆 TOP 1000
​
**#1** - **Zero Two** - DARLING in the FRANXX
**#2** - **Rem** - Re:Zero kara Hajimeru Isekai Seikatsu
**#3** - **Hatsune Miku** - VOCALOID
**#4** - **Megumin** - Kono Subarashii Sekai ni Shukufuku wo!
**#5** - **Mai Sakurajima** - Seishun Buta Yarou
**#6** - **Rias Gremory** - High School DxD
**#7** - **Satoru Gojo** - Jujutsu Kaisen
**#8** - **Power** - Chainsaw Man
**#9** - **Saber** - Fate/stay night
**#10** - **Nami** - One Piece
**#11** - **Asuna** - Sword Art Online
**#12** - **Mikasa Ackerman** - Attack on Titan
**#13** - **Nezuko Kamado** - Kimetsu no Yaiba
**#14** - **Albedo** - Overlord
**#15** - **Makima** - Chainsaw Man
Page 1 / 67",2025-02-17 18:16:18.187000+00:00
heba_45850,$top,2025-02-17 18:16:17.811000+00:00
Mudae,"<:CC:498523336972959744> **Waifu left:** 40267/40268 animanga + 29155/29156 game
<:Lelouch:498523365213077514> **Husbando left:** 41159/41159 animanga + 24958/24958 game
<:Phosph:498523296799653889> **Including:** 2652/2652 animanga + 3736/3736 game both genders

**Total left:** 78774/78775 animanga + 50377/50378 game
**Total claimed:** 2/121817",2025-02-17 18:15:11.369000+00:00
heba_45850,$left,2025-02-17 18:15:11.065000+00:00
PyBot,$left,2025-02-17 18:14:30.169000+00:00
heba_45850,im working on the python code now to start building a database then ill figure out what exactly we need,2025-02-17 18:01:12.782000+00:00
moof_soup,hell yah,2025-02-17 17:59:50.483000+00:00
moof_soup,ah u get it 😎,2025-02-17 17:59:48.840000+00:00
moof_soup,"what I did there was:
- claimed a character ""Tamako Kitashirakawa""
- used ""$im Tamako Kitashirakawa"" to get the main series of the character
- used ""$imab Tamako Market"" to find all bundles and side serieses
- decided to analyze specifically the ""slice of life genre"" bundle
- compared ""total value of all characters in slice of life genre"" vs ""total value of all *unclaimed* characters in slice of life genre""",2025-02-17 17:59:43.709000+00:00
heba_45850,i get it,2025-02-17 17:59:36.075000+00:00
heba_45850,ooh ok,2025-02-17 17:59:31.036000+00:00
moof_soup,31712 vs 31616 <@1292955955683921992>,2025-02-17 17:57:37.666000+00:00
Mudae,"
Slice of Life Genre   0/773
(bundle)
*Category: Main Genre*
*Slice of Life*
*SoL*
*Can't be disabled*

Total value: **31616**<:kakera:469835869059153940>

**Aiura - 0/5**
Kanaka Amaya **27** ka
Ayuko Uehara **26** ka
Saki Iwasawa **26** ka
Misuzu Wakatsuki **25** ka
Sumiko Yamashita **25** ka

**Akebi-chan no Sailor Fuku - 0/14**
Komichi Akebi **60** ka
Erika Kizaki **33** ka
Ai Tatsumori **29** ka
Kao Akebi **29** ka
Hotaru Hiraiwa **28** ka
Touko Usagihara **28** ka
Oshizu Hebimori **27** ka
Minoru Ookuma **26** ka
Yuwa Akebi **26** ka
Hitomi Washio **25** ka
Kei Tanigawa **25** ka
Mai Togano **25** ka
Page 1 / 57",2025-02-17 17:57:20.266000+00:00
moof_soup,$imaquk=wa Slice of Life Genre,2025-02-17 17:57:20.162000+00:00
Mudae,"
Slice of Life Genre   1/774
(bundle)
*Category: Main Genre*
*Slice of Life*
*SoL*
*Can't be disabled*

Total value: **31712**<:kakera:469835869059153940>

**Aiura - 0/5**
Kanaka Amaya **27** ka
Ayuko Uehara **26** ka
Saki Iwasawa **26** ka
Misuzu Wakatsuki **25** ka
Sumiko Yamashita **25** ka

**Akebi-chan no Sailor Fuku - 0/14**
Komichi Akebi **60** ka
Erika Kizaki **33** ka
Ai Tatsumori **29** ka
Kao Akebi **29** ka
Hotaru Hiraiwa **28** ka
Touko Usagihara **28** ka
Oshizu Hebimori **27** ka
Minoru Ookuma **26** ka
Yuwa Akebi **26** ka
Hitomi Washio **25** ka
Kei Tanigawa **25** ka
Mai Togano **25** ka
Page 1 / 57",2025-02-17 17:57:11.376000+00:00
moof_soup,$imaqk=wa Slice of Life Genre,2025-02-17 17:57:11.107000+00:00
Mudae,"
Slice of Life Genre
(Bundle)
**970** chars with a main series in this bundle.
**1033** total chars.

· Aiura (**5**)
· Akebi-chan no Sailor Fuku (**14**)
· Akutou Ikka no Mana Musume, Tensei Saki mo Otome Game no Gokudou Reijou deshita (**1**)
· Amaama to Inazuma (**5**)
· Amanchu! (**11**)
· Ame to Kimi to (**2**)
· Ano ko ni naisho no VTUBER! (**1**)
· Ansatsu Koukyuu ~Ansatsu Nyokan Karin wa Yuttari Ikitai~ (**1**)
· Aria (**18**)
· Azumanga Daioh (**16**)
· Bad Girl (**2**)
· Barakamon (**19**)
· Beni Tsubaki (**1**)
· Bijin Onna Joushi Takizawa-san (**2**)
· Binetsu Kuukan (**2**)
Page 1 / 13",2025-02-17 17:56:48.674000+00:00
moof_soup,$imab Slice of Life Genre,2025-02-17 17:56:48.575000+00:00
Mudae,"
Slice of Life Genre   0/3
(bundle)
*Category: Main Genre*
*Slice of Life*
*SoL*
*Can't be disabled*

Total value: **87**<:kakera:469835869059153940>

Nenena **24** ka

*Chars without a main series in this bundle:*

Kobayashi Matcha **32** ka
Masaoka Azuki **31** ka",2025-02-17 17:56:25.547000+00:00
moof_soup,$imaqk=wg Slice of Life Genre,2025-02-17 17:56:25.458000+00:00
Mudae,"9 bundles found for Tamako Market:
** · 2D Animated Shows** (38959)
** · 2D Animation** (40683)
** · Anime** (36412)
** · Japanese Media** (62462)
** · KA Esuma Bunko** (124)
** · Kyoto Animation** (403)
** · Slice of Life Genre** (970)
** · TV Shows** (42878)
** · Winter 2013 Anime** (389)",2025-02-17 17:55:55.558000+00:00
moof_soup,$imab Tamako Market,2025-02-17 17:55:55.397000+00:00
Mudae,"
Tamako Kitashirakawa
Tamako Market <:female:452463537508450304>
*Animanga roulette* · **96**<:kakera:469835869059153940>
Claim Rank: #1726
Like Rank: #2654
Tama (TM) (+3)
Belongs to moof_soup ~~ 1 / 27",2025-02-17 17:55:42.301000+00:00
moof_soup,$im Tamako Kitashirakawa,2025-02-17 17:55:42.252000+00:00
Mudae,"**moof_soup**, No results!",2025-02-17 17:55:39.560000+00:00
moof_soup,$ima Tamako Kitashirakawa,2025-02-17 17:55:39.418000+00:00
Mudae,"**moof_soup**, No results!",2025-02-17 17:55:34.919000+00:00
moof_soup,$imab Tamako Kitashirakawa,2025-02-17 17:55:34.767000+00:00
Mudae,🏵️ **Substep completed! (See $tuto)** 🏵️,2025-02-17 17:55:17.841000+00:00
Mudae,💖 **moof_soup** and **Tamako Kitashirakawa** are now married! 💖,2025-02-17 17:55:17.695000+00:00
Mudae,"
Tamako Kitashirakawa
Tamako Market
React with any emoji to claim!
Belongs to moof_soup",2025-02-17 17:55:09.373000+00:00
moof_soup,$wa,2025-02-17 17:55:09.222000+00:00
PyBot,Hello heba_45850!,2025-02-16 22:04:33.423000+00:00
heba_45850,hello,2025-02-16 22:04:33.340000+00:00
Mudae,"<:CC:498523336972959744> **Waifu left:** 40268/40268 animanga + 29155/29156 game
<:Lelouch:498523365213077514> **Husbando left:** 41159/41159 animanga + 24958/24958 game
<:Phosph:498523296799653889> **Including:** 2652/2652 animanga + 3736/3736 game both genders

**Total left:** 78775/78775 animanga + 50377/50378 game
**Total claimed:** 1/121817",2025-02-16 22:02:34.197000+00:00
heba_45850,$left,2025-02-16 22:02:33.956000+00:00
Mudae,No results!,2025-02-16 00:14:41.420000+00:00
heba_45850,$search villain,2025-02-16 00:14:41.288000+00:00
Mudae,"**option g-**: Only display animanga characters. *$mmg-*
**option g-=**: Only display animanga only characters. *$mmg-=*
**$waifua**: ($wa) Roll a random animanga waifu.
**$husbandoa**: ($ha) Roll a random animanga husbando.
**$marrya**: ($ma) Roll a random animanga waifu or animanga husbando.
**$infomarry**: ($im) Search for a character. *$im Rem*
**$infomarrya**: ($ima) Search for a series. See `$s flags`. *$ima Re:Zero*",2025-02-16 00:12:59.308000+00:00
heba_45850,$search animanga,2025-02-16 00:12:59.198000+00:00
